id,name,year,domain,category,platform_group,engine,ros,access_as_reported,terrain,sensors,publication_url,resource_url,resource_type,paper_reference,evidence,note,title,author,doi,eprint,publication_last_checked,publication_check_result,publication_confirmed_reachable_on,resource_last_checked,resource_check_result,resource_confirmed_reachable_on
Giubilato2020,Giubilato et al.,2020,Mars,Rover,Rover-relevant,Gazebo,R1,Direct,Real,"St Cam, 3D LiDAR, IMU",https://doi.org/10.1109/MetroAeroSpace48742.2020.9160154,https://github.com/MorpheusPD/MarsSim,Repository,23,"Survey Table I, p. 4; bibliography reference [23]. Capabilities are transcribed from the survey, not independently benchmarked.",,Simulation Framework for Mobile Robots in Planetary-Like Environments,"Giubilato, Riccardo and others",10.1109/MetroAeroSpace48742.2020.9160154,,2026-09-09T03:19:25+00:00,response_unconfirmed,,2026-09-09T03:19:27+00:00,reachable,2026-09-09
Toupet2020ENavSim,Toupet et al.,2020,Mars,Rover,Rover-relevant,ROS-based,R1,No release listed,Simulated,"St Cam, rover state",https://doi.org/10.1109/AERO47225.2020.9172345,,,27,"Survey Table I, p. 4; bibliography reference [27]. Capabilities are transcribed from the survey, not independently benchmarked.",,A ROS-based Simulator for Testing the Enhanced Autonomous Navigation of the Mars 2020 Rover,"Toupet, Olivier and others",10.1109/AERO47225.2020.9172345,,2026-09-09T03:19:23+00:00,response_unconfirmed,,,,
Mueller2021,OAISYS,2021,Planet.,Multi-platform,Multi-platform,Blender,,Direct,Synthetic,RGB-D (extensible),https://doi.org/10.1109/IROS51168.2021.9636644,https://github.com/DLR-RM/oaisys,Repository,8,"Survey Table I, p. 4; bibliography reference [8]. Capabilities are transcribed from the survey, not independently benchmarked.",,A Photorealistic Terrain Simulation Pipeline for Unstructured Outdoor Environments,"Müller, M. G. and others",10.1109/IROS51168.2021.9636644,,2026-09-09T03:19:24+00:00,response_unconfirmed,,2026-09-09T03:19:27+00:00,reachable,2026-09-09
MarsSim2023,MarsSim,2023,Mars,Rover,Rover-relevant,Gazebo,R1,No release listed,Real,Mastcam,https://doi.org/10.1109/TAES.2022.3207705,,,24,"Survey Table I, p. 4; bibliography reference [24]. Capabilities are transcribed from the survey, not independently benchmarked.",,MarsSim: A High-Fidelity Physical and Visual Simulation for Mars Rovers,"Zhou, Ruyi and others",10.1109/TAES.2022.3207705,,2026-09-09T03:19:25+00:00,response_unconfirmed,,,,
Cloud2023,SEELO,2023,Lunar,Excavator,Construction,Unity,,No release listed,Real,"Vision, IMU",https://doi.org/10.1109/IROS55552.2023.10342005,,,10,"Survey Table I, p. 4; bibliography reference [10]. Capabilities are transcribed from the survey, not independently benchmarked.",,Lunar Excavator Mission Operations Using Dynamic Movement Primitives,"Cloud, Joseph M. and others",10.1109/IROS55552.2023.10342005,,2026-09-09T03:19:24+00:00,response_unconfirmed,,,,
LunarSim2023,LunarSim,2023,Lunar,Rover,Rover-relevant,Unity,R2,Direct,Synthetic,"RGB-D, IMU",https://doi.org/10.3390/app132212401,https://github.com/PUTvision/LunarSim,Repository,13,"Survey Table I, p. 4; bibliography reference [13]. Capabilities are transcribed from the survey, not independently benchmarked.",,LunarSim: Lunar Rover Simulator Focused on High Visual Fidelity and ROS 2 Integration for Advanced Computer Vision Algorithm Development,"Pieczyński, Dominik and others",10.3390/app132212401,,2026-09-09T03:19:26+00:00,access_restricted,,2026-09-09T03:19:27+00:00,reachable,2026-09-09
Yunn2023,Jiang et al.,2023,Mars,Rover,Rover-relevant,Blender,,No release listed,Synthetic,RGB-D + Sem,https://doi.org/10.1109/ONCON60463.2023.10431105,,,28,"Survey Table I, p. 4; bibliography reference [28]. Capabilities are transcribed from the survey, not independently benchmarked.",,A Mars Multi-terrain Simulator Using a Modular Terrain Construction Framework,"Jiang, Yun and others",10.1109/ONCON60463.2023.10431105,,2026-09-09T03:19:25+00:00,response_unconfirmed,,,,
DUST2023,DUST,2023,Lunar,Rover-relevant,Rover-relevant,Unreal Engine,,Request,Real/DEM,Rendered terrain views,https://doi.org/10.1109/AERO55745.2023.10115607,https://software.nasa.gov/software/MSC-27522-1,Request portal,16,"Survey Table I, p. 4; bibliography reference [16]. Capabilities are transcribed from the survey, not independently benchmarked.",,Digital Lunar Exploration Sites Unreal Simulation Tool (DUST),"Bingham, Lee and others",10.1109/AERO55745.2023.10115607,,2026-09-09T03:19:23+00:00,response_unconfirmed,,2026-09-09T03:19:28+00:00,reachable,2026-09-09
Richard_2024,OmniLRS,2024,Lunar,Rover,Rover-relevant,Isaac Sim,R1/R2,Direct,Real + proc.,"RGB-D, 2D/3D LiDAR, IMU",https://doi.org/10.1109/ICRA57147.2024.10610026,https://github.com/OmniLRS/OmniLRS,Repository,9,"Survey Table I, p. 4; bibliography reference [9]. Capabilities are transcribed from the survey, not independently benchmarked.",,OmniLRS: A Photorealistic Simulator for Lunar Robotics,"Richard, Antoine and others",10.1109/ICRA57147.2024.10610026,,2026-09-09T03:19:24+00:00,response_unconfirmed,,2026-09-09T03:19:27+00:00,reachable,2026-09-09
MarsDrone2024,MarsDrone,2024,Mars,Aerial,Aerial,Unreal Engine,,No release listed,Real,"Cam, Alt, Inc, IMU",https://doi.org/10.1109/AERO58975.2024.10521330,,,25,"Survey Table I, p. 4; bibliography reference [25]. Capabilities are transcribed from the survey, not independently benchmarked.",,MarsDrone: A Next-Generation Simulation System for Mars Unmanned Aerial Vehicles,"Zhang, Guoxing and Li, Qiuping",10.1109/AERO58975.2024.10521330,,2026-09-09T03:19:23+00:00,response_unconfirmed,,,,
